Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
10/2/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,331",1.07
10/9/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,440",1.04
10/16/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,051",1.06
10/23/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,334",0.99
10/30/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,971",1.15
11/6/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,920",1.02
11/13/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,198",1.03
11/20/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,001",1.22
11/27/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,501",1.04
12/4/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,401",1.04
12/11/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"12,386",1.05
12/18/2020,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,093",1.18
1/1/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"15,848",0.8
1/8/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,380",1.07
1/15/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,331",1.0
1/22/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,344",0.99
1/29/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,371",0.98
2/5/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"19,773",0.78
2/12/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,035",1.31
2/19/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,993",0.98
2/26/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"11,586",0.94
3/5/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,076",1.03
3/12/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,485",0.97
3/19/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,416",1.06
3/26/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,966",1.18
4/2/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,009",1.0
4/9/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,055",1.14
4/16/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,628",0.98
4/23/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,626",1.3
4/30/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"14,826",0.98
5/7/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,552",1.19
5/14/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,345",1.19
5/21/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,665",1.31
5/28/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,905",1.16
6/4/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,590",1.29
6/11/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,639",1.23
6/18/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,216",1.19
6/25/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,114",1.3
7/2/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,567",1.29
7/9/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,880",1.1
7/16/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,079",1.2
7/23/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,786",1.19
7/30/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,213",1.09
8/6/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,130",1.19
8/13/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,965",1.33
8/20/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,116",1.02
8/27/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,777",1.13
9/3/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,222",1.07
9/10/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,077",1.06
9/17/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,643",0.96
9/24/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,651",1.02
10/1/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,033",1.18
10/8/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,823",1.25
10/15/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,833",1.26
10/22/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,168",1.3
10/29/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,240",1.11
11/5/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,008",1.15
11/12/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,749",1.2
11/19/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,295",1.37
11/26/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,495",1.16
12/3/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,308",1.03
12/10/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,069",1.2
12/17/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,291",1.35
12/24/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,713",1.42
12/31/2021,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"15,939",1.04
1/7/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,537",1.24
1/14/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,259",1.35
1/21/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,765",1.5
1/28/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,480",1.33
2/4/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,507",1.24
2/11/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"16,334",1.08
2/18/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,579",1.4
2/25/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,486",1.24
3/4/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,637",1.27
3/11/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,882",1.41
3/18/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,683",1.37
3/25/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,191",1.16
4/1/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,732",1.57
4/8/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,850",1.24
4/15/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,727",1.51
4/22/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,674",1.58
4/29/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,784",1.21
5/6/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,843",1.4
5/13/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,767",1.56
5/20/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,658",1.6
5/27/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,136",1.55
6/3/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"2,922",1.69
6/10/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,686",1.38
6/17/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,817",1.63
6/24/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"3,810",1.54
7/1/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"6,288",1.75
7/8/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,101",1.25
7/15/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,634",1.44
7/22/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"4,404",1.41
7/29/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,925",1.41
8/5/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"5,829",1.25
8/12/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,323",1.25
8/19/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,459",1.43
8/26/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,719",1.27
9/2/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"8,089",1.31
9/9/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,853",1.36
9/16/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"10,426",1.04
9/23/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"9,086",1.29
9/30/2022,NATIONAL,FRUITS,AVOCADOS,HASS,,,each,"7,440",1.29
