Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
10/2/2020,NATIONAL,FRUITS,APPLE PEARS,,,,each,13,1.29
10/2/2020,NATIONAL,FRUITS,APPLES,FUJI,,,3 lb bag,700,3.85
10/2/2020,NATIONAL,FRUITS,APPLES,FUJI,,,5 lb bag,867,4.57
10/2/2020,NATIONAL,FRUITS,APPLES,FUJI,,,per pound,"2,958",1.27
10/2/2020,NATIONAL,FRUITS,APPLES,GALA,,,2 lb bag,293,3.8
10/2/2020,NATIONAL,FRUITS,APPLES,GALA,,,3 lb bag,"1,795",3.37
10/2/2020,NATIONAL,FRUITS,APPLES,GALA,,,5 lb bag,870,4.57
10/2/2020,NATIONAL,FRUITS,APPLES,GALA,,,per pound,"4,283",1.27
10/2/2020,NATIONAL,FRUITS,APPLES,GINGER GOLD,,,3 lb bag,120,2.99
10/2/2020,NATIONAL,FRUITS,APPLES,GINGER GOLD,,,per pound,612,0.91
10/2/2020,NATIONAL,FRUITS,APPLES,GOLDEN DELICIOUS,,,3 lb bag,"1,165",3.59
10/2/2020,NATIONAL,FRUITS,APPLES,GOLDEN DELICIOUS,,,per pound,891,1.14
10/2/2020,NATIONAL,FRUITS,APPLES,GRANNY SMITH,,,3 lb bag,"1,132",3.76
10/2/2020,NATIONAL,FRUITS,APPLES,GRANNY SMITH,,,5 lb bag,863,4.58
10/2/2020,NATIONAL,FRUITS,APPLES,GRANNY SMITH,,,per pound,"2,510",1.54
10/2/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,,,2 lb bag,"1,397",2.05
10/2/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,,,3 lb bag,238,4.03
10/2/2020,NATIONAL,FRUITS,APPLES,HONEYCRISP,,,per pound,"5,190",2.12
10/2/2020,NATIONAL,FRUITS,APPLES,JONAGOLD,,,per pound,199,1.39
10/2/2020,NATIONAL,FRUITS,APPLES,JONATHAN,,,3 lb bag,230,2.8
10/2/2020,NATIONAL,FRUITS,APPLES,JONATHAN,,,per pound,143,1.12
